logFC	AveExpr	t	P.Value	adj.P.Val	B	Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	Cluster	Alpha
9.0261730009308	-1.03687158392172	38.7900936045784	1.042225658388e-139	1.84864776156572e-137	308.854706543283	LINC00632	NA	NA	NA	NA	NA	NA	Unknown	0.1
7.68487367934997	0.180635616097019	18.7662356065624	2.97403407845079e-57	2.76731433266995e-56	119.369170660154	XACT	NA	NA	NA	NA	NA	NA	Unknown	0.1
6.27962843326286	-1.50397563451031	28.2815508944494	1.29113551813246e-98	6.78563444529617e-97	214.464269231761	PRNCR1	NA	NA	NA	NA	NA	NA	Unknown	0.1
6.15490208114951	-1.71617282551086	41.0895502278309	6.55552768210754e-148	1.43112212014009e-145	327.653642501612	AL022323.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
6.11347547115566	8.87680119233399	39.1824142215156	3.97115757246198e-141	7.51343012709807e-139	312.16873632606	MALAT1	1.58074801087073e-209	2.03044245572193	0.995	0.664	1.84315218067527e-205	NK/T	NK/T	1
5.7847330522401	-1.96113035382946	32.5389064770462	5.63820262018881e-116	5.71472108431995e-114	254.345623291912	AC211433.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.68704971880311	-2.08492409273689	42.121575107992	1.68066104219547e-151	3.97476336479229e-149	335.883219258108	AC005856.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.33285319588806	-2.0013131115239	35.6966748198907	3.1410092307306e-128	4.45709209840672e-126	282.483234955182	Z82217.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.24616414052376	-0.241782759569973	21.2655374630664	2.69756859334093e-68	3.92599982969311e-67	144.753498152881	PLAC4	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.23730961690764	-1.54537725197668	28.6153019879861	5.21166352189583e-100	2.84436559137315e-98	217.664404964172	MIR133A1HG	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.20022000628955	-1.96133981796845	25.1285644774565	3.3634897885336e-85	9.26755730083335e-84	183.636420164465	TEX41	NA	NA	NA	NA	NA	NA	Unknown	0.1
5.11519461087215	-1.98461451792123	32.407134577719	1.88034886939299e-115	1.77881003044577e-113	253.14318577632	AC005632.6	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.93279142711077	-1.61129290169829	40.7677678014598	8.86301717963962e-147	1.79666019684409e-144	325.055282181697	AL049840.6	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.92841806430068	-1.55466191265938	30.6420069666753	2.34652088712053e-108	1.79984493990488e-106	236.844373458686	AC007114.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.92432318296835	-1.04694542872338	23.5033932915756	3.90098674784825e-78	8.92822612128495e-77	167.394106655456	AC010491.2	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.86211604175592	0.559503995586212	16.3580651446736	1.01917518236282e-46	6.80569215893104e-46	95.1407011957327	H19	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.85075118497185	-1.93660142527089	26.492718452177	4.68159841619091e-91	1.70338157758331e-89	197.094651286472	AC013553.3	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.81313114237015	0.0623956528747596	24.9159574136598	2.79216290753827e-84	7.33718364036445e-83	181.495921229857	CASC19	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.69722202440992	-1.83377075218295	28.6251669803484	4.74083000207639e-100	2.63813245997898e-98	217.763215145385	AC092828.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.67463941020857	-0.81724228787641	28.9890955030394	1.45257743102159e-101	8.77109521114742e-100	221.238232478822	AC007878.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.64214723033366	-1.75363402404939	28.5961368962231	6.2643939996837e-100	3.35440569266082e-98	217.485066763851	AC114760.2	1.83781608203448e-113	2.18822518376633	0.636	0.174	2.1428935516522e-109	NK/T	NK/T	1
4.57866750029519	-0.1358495742671	28.7979234286802	9.04668004044965e-101	5.34884957391586e-99	219.405292095245	HELLPAR	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.54913004596979	3.30068752750273	32.9892393267544	9.34328333454992e-118	1.10484325431053e-115	258.420401821974	KCNQ1OT1	NA	NA	NA	NA	NA	NA	Unknown	0.1
4.43748287457398	-1.48623099739339	26.9134063603973	7.58148528567837e-93	2.98836878343822e-91	201.209704160269	AC004594.1	NA	NA	NA	NA	NA	NA	Unknown	0.1
