"BIC 1 component"	"BIC 2 components"	"BIC difference"	"LRT adj. p-val"
"1p"	6172.55819900135	5828.46191864905	344.096280352303	0
"1q"	6172.55819900135	5914.03327727236	258.524921728987	0
"10p"	6172.55819900135	5957.73956777075	214.818631230595	0
"10q"	6172.55819900135	6050.2810675823	122.277131419051	0
"11p"	6172.55819900135	6014.14750624673	158.410692754624	0
"11q"	6172.55819900135	5972.38922210662	200.168976894729	0
"12p"	6172.55819900135	6047.77809493017	124.780104071175	0
"12q"	6172.55819900135	5892.8469198274	279.711279173946	0
"13q"	6172.55819900135	5870.59405165044	301.964147350907	0
"14q"	6172.55819900135	5934.86003919832	237.69815980303	0
"15q"	6172.55819900135	5946.82613750615	225.732061495203	0
"16p"	6172.55819900135	6043.47781528012	129.080383721226	0
"16q"	6172.55819900135	5876.76787182797	295.790327173377	0
"17p"	6172.55819900135	6037.63320283572	134.924996165631	0
"17q"	6172.55819900135	5881.05003763334	291.508161368006	0
"18p"	6172.55819900135	6106.84497295367	65.713226047681	0
"18q"	6172.55819900135	6164.94778703397	7.61041196738006	1.1e-05
"19p"	6172.55819900135	5970.21643121438	202.341767786973	0
"19q"	6172.55819900135	6107.37370677168	65.1844922296668	0
"2p"	6172.55819900135	6022.3325870717	150.22561192965	0
"2q"	6172.55819900135	6125.84192019	46.7162788113492	0
"20p"	6172.55819900135	6005.83764841416	166.720550587193	0
"20q"	6172.55819900135	5570.33436434736	602.223834653991	0
"21q"	6172.55819900135	6160.6039839674	11.9542150339512	1e-06
"22q"	6172.55819900135	6140.34298125997	32.2152177413818	0
"3p"	6172.55819900135	5706.2298720053	466.328326996046	0
"3q"	6172.55819900135	6026.23807178849	146.320127212862	0
"4p"	6172.55819900135	6036.65489649675	135.9033025046	0
"4q"	6172.55819900135	6168.48041544516	4.0777835561903	6.2e-05
"5p"	6172.55819900135	6048.51497876387	124.04322023748	0
"5q"	6172.55819900135	5935.85994309622	236.698255905126	0
"6p"	6172.55819900135	6035.39245617492	137.165742826427	0
"6q"	6172.55819900135	6060.17388601797	112.384312983374	0
"7p"	6172.55819900135	5958.62483593236	213.933363068986	0
"7q"	6172.55819900135	5926.52588689463	246.032312106716	0
"8p"	6172.55819900135	6165.89618121549	6.66201778585491	1.7e-05
"8q"	6172.55819900135	5529.23820407321	643.319994928142	0
"9p"	6172.55819900135	6107.6785776933	64.8796213080532	0
"9q"	6172.55819900135	5844.35644185623	328.201757145118	0
"Xp"	6172.55819900135	5649.12717037469	523.431028626655	0
"Xq"	6172.55819900135	5893.90144585622	278.656753145128	0
